Tank,Treatment,Chamber,Plug,Starting Larvae,Day,Total,Aggregate,Individual,Notes
Tank3,Cold,C19,404,100,1,0,0,0,
Tank3,Cold,C19,1059,100,1,0,0,0,
Tank3,Cold,C19,1182,100,1,0,0,0,
Tank3,Cold,C20,484,100,1,0,0,0,
Tank3,Cold,C20,886,100,1,0,0,0,
Tank3,Cold,C20,1179,100,1,0,0,0,
Tank3,Cold,C21,242,100,2,0,0,0,
Tank3,Cold,C21,542,100,2,2,0,2,top
Tank3,Cold,C21,578,100,2,0,0,0,
Tank3,Cold,C22,967,100,2,0,0,0,
Tank3,Cold,C22,983,100,2,2,0,2,top
Tank3,Cold,C22,1142,100,2,1,0,1,top
Tank3,Cold,C23,517,100,2,0,0,0,
Tank3,Cold,C23,831,100,2,2,0,2,"1 top, 1 side"
Tank3,Cold,C23,1183,100,2,2,2,0,top
Tank3,Cold,C24,226,100,2,1,0,0,top
Tank3,Cold,C24,453,100,2,1,0,0,top
Tank3,Cold,C24,615A,100,2,0,0,0,
Tank4,Cold,C25,344,100,1,0,0,0,Did these get measured? 
Tank4,Cold,C25,1117,100,1,0,0,0,
Tank4,Cold,C25,1138,100,1,0,0,0,
Tank4,Cold,C26,579,100,1,0,0,0,
Tank4,Cold,C26,592,100,1,0,0,0,
Tank4,Cold,C26,1133,100,1,0,0,0,
Tank4,Cold,C27,515,100,1,0,0,0,
Tank4,Cold,C27,804,100,1,1,0,1,top
Tank4,Cold,C27,879,100,1,0,0,0,
Tank4,Cold,C28,548,100,1,0,0,0,
Tank4,Cold,C28,873B,100,1,1,0,1,top
Tank4,Cold,C28,1176,100,1,5,2,3,top
Tank4,Cold,C29,360,100,2,1,0,1,top
Tank4,Cold,C29,584B,100,2,0,0,0,
Tank4,Cold,C29,645,100,2,2,0,2,top
Tank4,Cold,C30,516B,100,2,2,0,2,top
Tank4,Cold,C30,615B,100,2,1,0,1,top
Tank4,Cold,C30,641,100,2,0,0,0,
Tank4,Cold,C31,299,100,2,2,0,2,"top, 1 wobbly not quite settled "
Tank4,Cold,C31,566,100,2,0,0,0,
Tank4,Cold,C31,1028,100,2,2,0,2,top
Tank4,Cold,C32,256,100,2,1,0,1,top
Tank4,Cold,C32,267,100,2,0,0,0,
Tank4,Cold,C32,536,100,2,1,0,1,"top, 1 not quite settled "
Tank1,High,H01,232,100,1,0,0,0,
Tank1,High,H01,549,100,1,1,0,1,top
Tank1,High,H01,1154,100,1,2,0,2,top
Tank1,High,H02,537,100,1,0,0,0,top; +1 no central disk formation 
Tank1,High,H02,682,100,1,0,0,0,"top, no central disk"
Tank1,High,H02,981,100,1,4,0,4,top; blob no central disk
Tank1,High,H03,1085,100,1,1,0,1,top; 1 bottom but no central disk
Tank1,High,H03,1152,100,1,0,0,0,
Tank1,High,H03,1177,100,1,2,0,2,top; 1 no central disk
Tank1,High,H04,59,100,1,14,0,14,"top; 1 top, no central disk"
Tank1,High,H04,469,100,1,6,0,6,top & perimeter
Tank1,High,H04,614B,100,1,2,0,2,top & perimeter
Tank1,High,H05,58,100,2,2,0,2,top
Tank1,High,H05,617,100,2,4,0,4,top; close but not agg.
Tank1,High,H05,639B,100,2,4,0,0,top
Tank1,High,H06,29,100,2,2,0,0,top
Tank1,High,H06,802,100,2,7,0,0,top; 2 gloppy/ no CD
Tank1,High,H06,826,100,2,2,0,0,top
Tank1,High,H07,250,100,2,3,0,0,top; 10 unsettled 
Tank1,High,H07,589,100,2,0,0,0,
Tank1,High,H07,1134,100,2,2,0,0,top; 3 unsettled
Tank1,High,H08,508,100,2,2,0,0,top 
Tank1,High,H08,535,100,2,3,0,0,top
Tank1,High,H08,643B,100,2,0,0,0,
Tank2,High,H09,812,100,1,0,0,0,1 unorganized on top
Tank2,High,H09,820,100,1,1,0,1,top
Tank2,High,H09,866,100,1,4,0,4,top; 1 top no mouth or central disk
Tank2,High,H10,583,100,1,0,0,0,something on based but dk what 
Tank2,High,H10,603,100,1,12,0,12,top; 1 unorganized no central disk
Tank2,High,H10,622A,100,1,2,2,0,top; 2 top settled w/ one another
Tank2,High,H11,519,100,1,1,0,1,top
Tank2,High,H11,524B,100,1,0,0,0,
Tank2,High,H11,832,100,1,8,3,5,"7 individuals top, 1 side; agg. of 3 on top "
Tank2,High,H12,600,100,1,3,3,0,top; top agg. of 3
Tank2,High,H12,864,100,1,5,0,5,top
Tank2,High,H12,1167,100,1,6,5,1,top; 2 sets of agg. one w/ 2; the other w/ 3 
Tank2,High,H13,663,100,2,5,0,0,top
Tank2,High,H13,1163,100,2,1,0,0,top
Tank2,High,H13,1174,100,2,6,0,6,"5 top, 1 side"
Tank2,High,H14,540B,100,2,4,0,0,top
Tank2,High,H14,551,100,2,0,0,0,
Tank2,High,H14,1149,100,2,1,0,0,top
Tank2,High,H15,504B,100,2,4,0,0,top
Tank2,High,H15,790,100,2,16,5,11,top
Tank2,High,H15,1160,100,2,3,0,3,top
Tank2,High,H16,223,100,2,7,0,7,top
Tank2,High,H16,301,100,2,3,0,3,top
Tank2,High,H16,529,100,2,4,0,4,top
Tank3,High,H17,833,100,1,4,0,4,"3 top, 1 side"
Tank3,High,H17,841,100,1,8,0,8,top
Tank3,High,H17,985,100,1,1,0,1,top
Tank3,High,H18,526,100,1,8,6,2,top
Tank3,High,H18,662,100,1,8,0,8,top
Tank3,High,H18,1060,100,1,3,0,3,top
Tank3,High,H19,414,100,1,4,0,4,"2 top, 1 side, 1 underside top"
Tank3,High,H19,521,100,1,1,0,1,top
Tank3,High,H19,840,100,1,0,0,0,
Tank3,High,H20,518A,100,1,6,0,6,"5 top, 1 side"
Tank3,High,H20,604,100,1,3,0,3,top
Tank3,High,H20,966,100,1,6,17,11,top
Tank3,High,H21,640,100,2,2,0,2,top
Tank3,High,H21,1128,100,2,5,4,1,top
Tank3,High,H21,1178,100,2,6,2,4,top
Tank3,High,H22,546A,100,2,1,0,1,top
Tank3,High,H22,647,100,2,7,3,4,top
Tank3,High,H22,1157,100,2,10,2,8,"9 top, 1 under top"
Tank3,High,H23,571B,100,2,5,0,5,top
Tank3,High,H23,573,100,2,1,0,1,top
Tank3,High,H23,972,100,2,3,0,3,top
Tank3,High,H24,543,100,2,4,0,4,top
Tank3,High,H24,847,100,2,9,2,7,top
