Plot Title: Cold_L6_10779060,,,,,,
#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 10779060, SEN S/N: 10779060)",Coupler Detached (LGR S/N: 10779060),Coupler Attached (LGR S/N: 10779060),Host Connected (LGR S/N: 10779060),End Of File (LGR S/N: 10779060)
453,7/1/19 08:15,22.633,,,,
454,7/1/19 08:30,22.537,,,,
455,7/1/19 08:45,22.776,,,,
456,7/1/19 09:00,22.8,,,,
457,7/1/19 09:15,22.92,,,,
458,7/1/19 09:30,23.064,,,,
459,7/1/19 09:45,22.992,,,,
460,7/1/19 10:00,23.016,,,,
461,7/1/19 10:15,23.208,,,,
462,7/1/19 10:30,23.112,,,,
463,7/1/19 10:45,23.208,,,,
464,7/1/19 11:00,23.641,,,,
465,7/1/19 11:15,23.881,,,,
466,7/1/19 11:30,24.074,,,,
467,7/1/19 11:45,24.436,,,,
468,7/1/19 12:00,24.702,,,,
469,7/1/19 12:15,24.871,,,,
470,7/1/19 12:30,25.04,,,,
471,7/1/19 12:45,25.331,,,,
472,7/1/19 13:00,25.574,,,,
473,7/1/19 13:15,25.841,,,,
474,7/1/19 13:30,26.012,,,,
475,7/1/19 13:45,26.28,,,,
476,7/1/19 14:00,26.402,,,,
477,7/1/19 14:15,26.867,,,,
478,7/1/19 14:30,26.916,,,,
479,7/1/19 14:45,26.793,,,,
480,7/1/19 15:00,26.524,,,,
481,7/1/19 15:15,26.426,,,,
482,7/1/19 15:30,26.451,,,,
483,7/1/19 15:45,25.939,,,,
484,7/1/19 16:00,25.623,,,,
485,7/1/19 16:15,25.38,,,,
486,7/1/19 16:30,25.137,,,,
487,7/1/19 16:45,24.919,,,,
488,7/1/19 17:00,24.726,,,,
489,7/1/19 17:15,24.557,,,,
490,7/1/19 17:30,24.436,,,,
491,7/1/19 17:45,24.339,,,,
492,7/1/19 18:00,24.291,,,,
493,7/1/19 18:15,24.219,,,,
494,7/1/19 18:30,24.122,,,,
495,7/1/19 18:45,24.098,,,,
496,7/1/19 19:00,23.93,,,,
497,7/1/19 19:15,23.689,,,,
498,7/1/19 19:30,23.569,,,,
